Response_ID,Employee_ID,Survey_Round,Milestone,Driver,Score,Comment,Submitted_At,sentiment,x_confidential,manager_response_days
PK-5001,EMP7000,Day 7,Day 7,Onboarding,10,"Good start, team is welcoming.",2026-06-15 00:00:00,positive,false,
PK-5002,EMP7001,Day 7,Day 7,Onboarding,10,Smooth onboarding.,2026-07-09 00:00:00,positive,false,
PK-5003,EMP7001,Day 60,Day 60,Role Clarity,10,Smooth onboarding.,2026-06-17 00:00:00,positive,false,
PK-5004,EMP7002,Day 7,Day 7,Onboarding,8,Minor delays with access but resolved.,2026-07-14 00:00:00,neutral,false,
PK-5005,EMP7002,Day 30,Day 30,Belonging,6,Enjoying the projects.,2026-07-03 00:00:00,positive,false,
PK-5006,EMP7003,Day 7,Day 7,Onboarding,6,"Managing, though I have been dealing with a health matter and have not felt able to raise it with my manager yet.",2026-06-19 00:00:00,concern,true,
PK-5007,EMP7003,Day 30,Day 30,Belonging,6,"Good start, team is welcoming.",15/07/2026,positive,false,
PK-5008,EMP7004,Day 7,Day 7,Onboarding,10,Minor delays with access but resolved.,2026-07-08 00:00:00,neutral,false,
PK-5009,EMP7004,Day 30,Day 30,Belonging,10,"Clear enough, still learning.",2026-06-22 00:00:00,neutral,false,
PK-5010,EMP7005,Day 60,Day 60,Role Clarity,6,Work is fine but I have a concern about how a teammate has been treating people and am unsure who to speak to.,2026-07-09 00:00:00,concern,true,
PK-5011,EMP7006,Day 30,Day 30,Belonging,7,Smooth onboarding.,2026-07-04 00:00:00,positive,false,
PK-5012,EMP7006,Day 60,Day 60,Role Clarity,10,"Good start, team is welcoming.",2026-06-29 00:00:00,positive,false,
PK-5013,EMP7007,Day 7,Day 7,Onboarding,2,Honestly I feel disconnected and unsure this role is the right fit. Not much has clicked.,2026-06-21 00:00:00,negative,false,1
PK-5014,EMP7007,Day 30,Day 30,Belonging,10,Enjoying the projects.,2026-07-12 00:00:00,positive,false,
PK-5015,EMP7008,Day 7,Day 7,Onboarding,10,Smooth onboarding.,2026-06-28 00:00:00,positive,false,
PK-5016,EMP7008,Day 30,Day 30,Belonging,,,,,false,
PK-5017,EMP7008,Day 60,Day 60,Role Clarity,9,"Clear enough, still learning.",2026-06-28 00:00:00,neutral,false,
PK-5018,EMP7009,Day 7,Day 7,Onboarding,9,"Good start, team is welcoming.",2026-07-09 00:00:00,positive,false,
PK-5019,EMP7009,Day 30,Day 30,Belonging,8,"Good start, team is welcoming.",2026-06-19 00:00:00,positive,false,
PK-5020,EMP7009,Day 60,Day 60,Role Clarity,9,Enjoying the projects.,2026-07-04 00:00:00,positive,false,
PK-5021,EMP7010,Day 7,Day 7,Onboarding,7,Smooth onboarding.,2026-06-20 00:00:00,positive,false,
PK-5022,EMP7010,Day 30,Day 30,Belonging,7,Enjoying the projects.,2026-07-13 00:00:00,positive,false,
PK-5023,EMP7010,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,Jun 21 2026,neutral,false,
PK-5024,EMP7011,Day 7,Day 7,Onboarding,5,Minor delays with access but resolved.,2026-06-30 00:00:00,neutral,false,
PK-5025,EMP7011,Day 30,Day 30,Belonging,8,Smooth onboarding.,2026-06-26 00:00:00,positive,false,
PK-5026,EMP7011,Day 60,Day 60,Role Clarity,5,"Good start, team is welcoming.",2026-07-14 00:00:00,positive,false,
PK-5027,EMP7012,Day 7,Day 7,Onboarding,6,Enjoying the projects.,2026-06-28 00:00:00,positive,false,
PK-5028,EMP7012,Day 30,Day 30,Belonging,7,"Good start, team is welcoming.",2026-07-11 00:00:00,positive,false,
PK-5029,EMP7012,Day 60,Day 60,Role Clarity,6,"Good start, team is welcoming.",29/06/2026,positive,false,
PK-5030,EMP7013,Day 7,Day 7,Onboarding,8,Smooth onboarding.,2026-07-15 00:00:00,positive,false,
PK-5031,EMP7013,Day 30,Day 30,Belonging,7,Would like more 1:1 time.,Jun 20 2026,neutral,false,
