Event_ID,Employee_ID,Business_Process,Step_Name,Milestone,Due_Date,Status,Completed_Date,Assigned_To_Role
BP-90001,EMP7000,Onboarding,Laptop issued,Day 1,2026-05-25,Completed,2026-07-04,Payroll
BP-90002,EMP7000,Onboarding,Email + SSO access,Day 1,2026-06-03,Completed,2026-07-11,Payroll
BP-90003,EMP7000,Onboarding,Building badge,Day 1,2026-06-27,Completed,2026-06-30,HR
BP-90004,EMP7000,Onboarding,Team introduction,Day 1,2026-07-12,Completed,2026-07-03,Payroll
BP-90005,EMP7000,Onboarding,Compliance training assigned,Day 7,2026-07-31,Not Started,,HR
BP-90006,EMP7000,Onboarding,Policy handbook acknowledgement,Day 7,2026-08-01,In Progress,,IT
BP-90007,EMP7000,Onboarding,First 1:1 scheduled,Day 7,2026-06-20,Escalated,,Payroll
BP-90008,EMP7000,Onboarding,Role goals set,Day 30,2026-07-19,In Progress,,HR
BP-90009,EMP7000,Onboarding,Compliance Document signed,Day 30,2026-07-23,Escalated,,IT
BP-90010,EMP7000,Onboarding,30-day check-in,Day 30,2026-06-12,Completed,2026-07-02,Manager
BP-90011,EMP7000,Onboarding,Mid-probation review,Day 60,2026-05-22,In Progress,,HR
BP-90012,EMP7000,Onboarding,Probation decision,Day 90,2026-06-30,In Progress,,IT
BP-90013,EMP7000,Onboarding,90-day survey,Day 90,2026-05-30,Not Started,,Payroll
BP-90014,EMP7001,Onboarding,Laptop issued,Day 1,2026-07-25,Completed,2026-07-01,IT
BP-90015,EMP7001,Onboarding,Email + SSO access,Day 1,2026-06-28,Completed,2026-07-10,Payroll
BP-90016,EMP7001,Onboarding,Building badge,Day 1,2026-07-03,Completed,2026-07-13,HR
BP-90017,EMP7001,Onboarding,Team introduction,Day 1,2026-05-19,Completed,2026-07-08,IT
BP-90018,EMP7001,Onboarding,Compliance training assigned,Day 7,2026-06-14,Completed,2026-07-15,Payroll
BP-90019,EMP7001,Onboarding,Policy handbook acknowledgement,Day 7,2026-06-13,Completed,2026-07-09,IT
BP-90020,EMP7001,Onboarding,First 1:1 scheduled,Day 7,2026-08-02,Completed,2026-06-30,Manager
